Slug	EN	DE	PL	RU	NL	FR	CZ	UA	HR	GR	PT	TR	BG	HU	ES	IT	SR	RO
web_change_password	Change password	Passwort ändern	Zmień hasło	Изменить пароль	Wachtwoord wijzigen	Modifier le mot de passe	Změňte si heslo	Змінити пароль	Promijenite lozinku	Αλλαγή κωδικού πρόσβασης	Alterar palavra-passe	Parolayı değiştir	Промяна на парола	Jelszó megváltoztatása	Cambiar contraseña	Cambia la password	Промени лозинку	Schimbaţi parola
web_set_password	Set password	Passwort setzen	Ustaw hasło	Установить пароль	Wachtwoord instellen	Définir le mot de passe	Nastavte si heslo	Встановити пароль	Odredite lozinku	Ορισμός κωδικού πρόσβασης	Definir palavra-passe	Parola belirle	Задаване на парола	Jelszó beállítása	Establecer contraseña	Imposta la password	Постави лозинку	Seteaza parola
web_congratulations_title	Congratulations!	Herzlichen Glückwunsch!	Gratulacje!	Наши поздравления!	Gefeliciteerd!	Félicitations !	Gratulujeme vám!	Вітаємо!	Čestitamo!	Συγχαρητήρια!	Parabéns!	Tebrikler!	Поздравления!	Gratulálunk!	¡Enhorabuena!	Congratulazioni!	Честитамо!	Felicitări!
web_congratulations_body	You successfully activated your account, now you can access the CTC Wallet mobile application	Sie haben Ihren Account erfolgreich aktiviert. Sie können nun die mobile CTC Wallet App nutzen.	Aktywacja konta zakończyła się pomyślnie. Możesz teraz korzystać z aplikacji mobilnej CTC Wallet.	Вы успешно активировали свою учетную запись. Теперь вы можете пользоваться мобильным приложением CTC Wallet.	U hebt uw account met succes geactiveerd. U kunt nu de mobiele CTC Wallet-app gebruiken.	Votre compte est activé, vous pouvez maintenant accéder à l'application mobile CTC Wallet	Úspěšně jste aktivovali svůj účet, nyní máte přístup do mobilní aplikace CTC Wallet	Ви успішно активували свій обліковий запис і тепер можете отримати доступ до мобільного застосунку CTC Wallet	Uspješno ste aktivirali svoj račun i sada možete pristupiti mobilnoj aplikaciji CTC Wallet	Ενεργοποιήσατε με επιτυχία το λογαριασμό σας, τώρα μπορείτε να αποκτήσετε πρόσβαση στην εφαρμογή CTC Wallet για κινητά.	Ativou a sua conta com sucesso. Já pode aceder à aplicação móvel CTC Wallet	Hesabınızı başarıyla etkinleştirdiniz, artık CTC Wallet mobil uygulamasına erişebilirsiniz.	Активирахте успешно акаунта си и вече имате достъп до мобилното приложение CTC Wallet	Sikeresen aktiválta fiókját, most már hozzáférhet a CTC Wallet mobilalkalmazáshoz	Ha activado correctamente su cuenta, ahora puede acceder a la aplicación móvil CTC Wallet.	Hai attivato il tuo account; ora puoi accedere all’applicazione mobile CTC Wallet	Успешно сте активирали свој налог, сада можете да приступите мобилној апликацији CTC Wallet	Ați activat cu succes contul dvs., acum puteți accesa aplicația mobilă cu portofel CTC
web_error_missing_params	Missing parameters	Fehlende Eingaben	Brak wprowadzonych danych	Недостающие сведения	Ontbrekende invoergegevens	Paramètres manquants	Chybějící parametry	Відсутні параметри	Nedostajući parametri	Λείπουν παράμετροι	Parâmetros em falta	Eksik parametreler	Липсващи параметри	Hiányzó paraméterek	Faltan parámetros	Parametri mancanti	Параметри који недостају	Parametri lipsă
web_error_invalid_params	Invalid parameters	Ungültige Eingaben	Niepoprawne dane	Недействительные сведения	Ongeldige invoergegevens	Paramètres non valides	Neplatné parametry	Недійсні параметри	Nevažeći parametri	Μη έγκυρες παράμετροι	Parâmetros inválidos	Geçersiz parametreler	Невалидни параметри	Érvénytelen paraméterek	Parámetros no válidos	Parametri non validi	Неважећи параметри	Parametri nevalide
web_error_general	General error	Allgemeiner Fehler	Wystąpił błąd ogólny	Общая ошибка	Algemene fout	Erreur générale	Obecná chyba	Загальна помилка	Opća pogreška	Γενικό σφάλμα	Erro geral	Genel hata	Обща грешка	Általános hiba	Error general	Errore generale	Општа грешка	Eroare generala
web_error_database	Database error	Datenbank-Fehler	Błąd bazy danych	Ошибка базы данных	Database-fout	Erreur de base de données	Chyba databáze	Помилка бази даних	Pogreška baze podataka	Σφάλμα βάσης δεδομένων	Erro da base de dados	Veri tabanı hatası	Грешка в базата данни	Adatbázishiba	Error de base de datos	Errore del database	Грешка у бази података	eroare bază de date
web_error_link_expired	An error occured. The invitation link is not valid anymore	Ein Fehler ist aufgetreten. Der Einladungs-Link ist nicht mehr gültig.	Wystąpił błąd. Link z zaproszeniem jest już nieaktualny.	Возникла ошибка. Ссылка с приглашением больше недействительна.	Er is een fout opgetreden. De link in de uitnodiging is niet meer geldig.	Une erreur est survenue Le lien d'invitation n'est plus valide	Došlo k chybě. Odkaz na pozvánku již neplatí	Виникла помилка. Посилання із запрошенням більше не дійсне	Došlo je do pogreške. Poveznica pozivnice više ne vrijedi	Παρουσιάστηκε ένα σφάλμα. Ο σύνδεσμος της πρόσκλησης δεν είναι πλέον έγκυρος	Ocorreu um erro. O link de convite já não é válido	Bir hata oluştu. Davet bağlantısı artık geçerli değil	Възникна грешка. Връзката за покана вече е невалидна.	Hiba történt. A meghívó hivatkozás már nem érvényes	Se ha producido un error. El enlace de la invitación ya no es válido.	Si è verificato un errore. Il link dell’invito non è più valido	Дошло је до грешке. Веза за позивницу више није важећа	A aparut o eroare. Link -ul de invitație nu mai este valabil
web_complete_password_text	Please set a password to complete activating your account.	Bitte setzen Sie ein Passwort, um die Aktivierung des Accounts abzuschließen.	Ustaw hasło, aby zakończyć aktywację konta.	Пожалуйста, установите пароль, чтобы завершить активацию учетной записи.	Stel een wachtwoord in om de activatie van het account te voltooien.	Définissez un mot de passe pour terminer l'activation de votre compte.	Abyste dokončili aktivaci svého účtu, nastavte si heslo.	Для завершення активації облікового запису встановіть пароль.	Odredite lozinku i dovršite aktivaciju računa.	Ορίστε έναν κωδικό πρόσβασης για να ολοκληρώσετε την ενεργοποίηση του λογαριασμού σας.	Inicie sessão com o seu endereço de e-mail / nome de usuário e palavra-passe.	Lütfen hesabınızı etkinleştirmeyi tamamlamak için parola belirleyin.	Моля, задайте парола, за да завършите активирането на акаунта си.	Kérjük, állítson be egy jelszót a fiókja aktválásának befejezéséhez.	Establezca una contraseña para completar la activación de su cuenta.	Imposta una password per completare l’attivazione dell’account.	Поставите лозинку да бисте довршили активацију свог налога.	Vă rugăm să setați o parolă pentru a finaliza activarea contului.
login_text	Please enter your email / username. 	 Bitte geben Sie Ihre E-Mail-Adresse / Ihren Benutzernamen und Ihr Passwort ein, um sich anzumelden.	Aby się zalogować, wprowadź swój adres e-mail / nazwa użytkownika i hasło.	Для регистрации введите свой адрес электронной почты / имя пользователя и пароль.	Voer uw e-mailadres en uw wachtwoord / gebruikersnaamin als u zich wilt aanmelden.	Saisissez votre adresse e-mail / nom d'utilisateur et votre mot de passe pour vous connecter.	Pro přihlášení zadejte svou e-mailovou adresu / uživatelské jméno a heslo.	Для входу введіть адресу ел. Пошти / користувача та пароль	Za prijavu unesite adresu e-pošte / korisničko i lozinku.	Πληκτρολογήστε τη διεύθυνση email / όνομα χρήστη και τον κωδικό πρόσβασής σας για να συνδεθείτε.	Inicie sessão com o seu endereço de e-mail e palavra-passe.	Giriş için e-posta adresinizi / kullanıcı adınızı ve parolanızı girin.	Моля, въведете имейл / потребителско име и парола, за да влезете.	Kérjük, adja meg az e-mail-címét / felhasználónevét és a jelszavát a bejelentkezéshez:	Introduzca su correo electrónico / nombre de usuario y contraseña para iniciar sesión.	Per accedere inserisci il tuo indirizzo e-mail / nome utente e la password.	Унесите своју адресу е-поште / корисничко име и лозинку за пријаву.	Vă rugăm să introduceți e -mailul / numele de utilizator.
password_label	Password	Passwort	Hasło	Пароль	Wachtwoord	Mot de passe	Heslo	Пароль	Lozinka	Κωδικός πρόσβασης	Palavra-passe	Parola	Парола	Jelszó	Contraseña	Password	Лозинка	Parola
logging_in	Logging In...	Einloggen...	Zaloguj...	Войти в систему...	Inloggen...	Connexion en cours…	Přihlašování...	Вхід...	Prijava...	Γίνεται σύνδεση...	A iniciar sessão...	Giriş yapılıyor...	Влизане в системата...	Bejelentkezés...	Iniciando sesión...	Accesso in corso…	Пријављивање...	Autentificare...
